UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.7,5,500,500,homogeneous,604800,81
least_power_k,0.7,5,500,500,homogeneous,604800,81
least_power_partition,0.7,5,500,500,homogeneous,604800,81
least_power,0.8,5,500,500,homogeneous,604800,68
least_power_k,0.8,5,500,500,homogeneous,604800,67
least_power_partition,0.8,5,500,500,homogeneous,604800,68
least_power,0.1,5,500,500,homogeneous2,604800,61
least_power_k,0.1,5,500,500,homogeneous2,604800,61
least_power_partition,0.1,5,500,500,homogeneous2,604800,61
least_power,0.2,5,500,500,homogeneous2,604800,61
least_power_k,0.2,5,500,500,homogeneous2,604800,61
least_power_partition,0.2,5,500,500,homogeneous2,604800,61
least_power,0.3,5,500,500,homogeneous2,604800,61
least_power_k,0.3,5,500,500,homogeneous2,604800,61
least_power_partition,0.3,5,500,500,homogeneous2,604800,61
least_power,0.4,5,500,500,homogeneous2,604800,64
least_power_k,0.4,5,500,500,homogeneous2,604800,63
least_power_partition,0.4,5,500,500,homogeneous2,604800,64
least_power,0.5,5,500,500,homogeneous2,604800,69
least_power_k,0.5,5,500,500,homogeneous2,604800,64
least_power_partition,0.5,5,500,500,homogeneous2,604800,69
least_power,0.6,5,500,500,homogeneous2,604800,67
least_power_k,0.6,5,500,500,homogeneous2,604800,67
least_power_partition,0.6,5,500,500,homogeneous2,604800,68
least_power,0.7,5,500,500,homogeneous2,604800,82
least_power_k,0.7,5,500,500,homogeneous2,604800,82
least_power_partition,0.7,5,500,500,homogeneous2,604800,82
least_power,0.8,5,500,500,homogeneous2,604800,95
least_power_k,0.8,5,500,500,homogeneous2,604800,69
least_power_partition,0.8,5,500,500,homogeneous2,604800,95
least_power,0.1,5,1000,1000,homogeneous,604800,74
least_power_k,0.1,5,1000,1000,homogeneous,604800,78
least_power_partition,0.1,5,1000,1000,homogeneous,604800,72
least_power,0.2,5,1000,1000,homogeneous,604800,73
least_power_k,0.2,5,1000,1000,homogeneous,604800,76
least_power_partition,0.2,5,1000,1000,homogeneous,604800,73
least_power,0.3,5,1000,1000,homogeneous,604800,77
least_power_k,0.3,5,1000,1000,homogeneous,604800,79
least_power_partition,0.3,5,1000,1000,homogeneous,604800,75
least_power,0.4,5,1000,1000,homogeneous,604800,79
least_power_k,0.4,5,1000,1000,homogeneous,604800,77
least_power_partition,0.4,5,1000,1000,homogeneous,604800,79
least_power,0.5,5,1000,1000,homogeneous,604800,80
least_power_k,0.5,5,1000,1000,homogeneous,604800,79
least_power_partition,0.5,5,1000,1000,homogeneous,604800,81
least_power,0.6,5,1000,1000,homogeneous,604800,90
least_power_k,0.6,5,1000,1000,homogeneous,604800,90
least_power_partition,0.6,5,1000,1000,homogeneous,604800,90
least_power,0.7,5,1000,1000,homogeneous,604800,90
least_power_k,0.7,5,1000,1000,homogeneous,604800,92
least_power_partition,0.7,5,1000,1000,homogeneous,604800,90
least_power,0.8,5,1000,1000,homogeneous,604800,123
least_power_k,0.8,5,1000,1000,homogeneous,604800,117
least_power_partition,0.8,5,1000,1000,homogeneous,604800,123
least_power,0.1,5,1000,1000,homogeneous2,604800,74
least_power_k,0.1,5,1000,1000,homogeneous2,604800,72
least_power_partition,0.1,5,1000,1000,homogeneous2,604800,74
least_power,0.2,5,1000,1000,homogeneous2,604800,74
least_power_k,0.2,5,1000,1000,homogeneous2,604800,71
least_power_partition,0.2,5,1000,1000,homogeneous2,604800,74
least_power,0.3,5,1000,1000,homogeneous2,604800,76
least_power_k,0.3,5,1000,1000,homogeneous2,604800,74
least_power_partition,0.3,5,1000,1000,homogeneous2,604800,73
least_power,0.4,5,1000,1000,homogeneous2,604800,74
least_power_k,0.4,5,1000,1000,homogeneous2,604800,73
least_power_partition,0.4,5,1000,1000,homogeneous2,604800,75
least_power,0.5,5,1000,1000,homogeneous2,604800,79
least_power_k,0.5,5,1000,1000,homogeneous2,604800,79
least_power_partition,0.5,5,1000,1000,homogeneous2,604800,79
least_power,0.6,5,1000,1000,homogeneous2,604800,87
least_power_k,0.6,5,1000,1000,homogeneous2,604800,82
least_power_partition,0.6,5,1000,1000,homogeneous2,604800,79
least_power,0.7,5,1000,1000,homogeneous2,604800,100
least_power_k,0.7,5,1000,1000,homogeneous2,604800,86
least_power_partition,0.7,5,1000,1000,homogeneous2,604800,88
least_power,0.8,5,1000,1000,homogeneous2,604800,118
least_power_k,0.8,5,1000,1000,homogeneous2,604800,117
least_power_partition,0.8,5,1000,1000,homogeneous2,604800,118
least_power,0.1,10,10,10,homogeneous,604800,102
least_power_k,0.1,10,10,10,homogeneous,604800,105
least_power_partition,0.1,10,10,10,homogeneous,604800,101
least_power,0.2,10,10,10,homogeneous,604800,103
least_power_k,0.2,10,10,10,homogeneous,604800,103
least_power_partition,0.2,10,10,10,homogeneous,604800,103
least_power,0.3,10,10,10,homogeneous,604800,104
least_power_k,0.3,10,10,10,homogeneous,604800,104
least_power_partition,0.3,10,10,10,homogeneous,604800,105
least_power,0.4,10,10,10,homogeneous,604800,104
least_power_k,0.4,10,10,10,homogeneous,604800,103
least_power_partition,0.4,10,10,10,homogeneous,604800,104
least_power,0.5,10,10,10,homogeneous,604800,105
least_power_k,0.5,10,10,10,homogeneous,604800,106
least_power_partition,0.5,10,10,10,homogeneous,604800,105
least_power,0.6,10,10,10,homogeneous,604800,105
least_power_k,0.6,10,10,10,homogeneous,604800,109
least_power_partition,0.6,10,10,10,homogeneous,604800,106
least_power,0.7,10,10,10,homogeneous,604800,116
least_power_k,0.7,10,10,10,homogeneous,604800,116
least_power_partition,0.7,10,10,10,homogeneous,604800,116
least_power,0.8,10,10,10,homogeneous,604800,117
least_power_k,0.8,10,10,10,homogeneous,604800,117
least_power_partition,0.8,10,10,10,homogeneous,604800,117
least_power,0.1,10,10,10,homogeneous2,604800,104
least_power_k,0.1,10,10,10,homogeneous2,604800,105
least_power_partition,0.1,10,10,10,homogeneous2,604800,105
least_power,0.2,10,10,10,homogeneous2,604800,105
least_power_k,0.2,10,10,10,homogeneous2,604800,106
least_power_partition,0.2,10,10,10,homogeneous2,604800,105
least_power,0.3,10,10,10,homogeneous2,604800,105
least_power_k,0.3,10,10,10,homogeneous2,604800,106
least_power_partition,0.3,10,10,10,homogeneous2,604800,105
least_power,0.4,10,10,10,homogeneous2,604800,105
least_power_k,0.4,10,10,10,homogeneous2,604800,106
least_power_partition,0.4,10,10,10,homogeneous2,604800,105
least_power,0.5,10,10,10,homogeneous2,604800,107
least_power_k,0.5,10,10,10,homogeneous2,604800,107
least_power_partition,0.5,10,10,10,homogeneous2,604800,107
least_power,0.6,10,10,10,homogeneous2,604800,107
least_power_k,0.6,10,10,10,homogeneous2,604800,115
least_power_partition,0.6,10,10,10,homogeneous2,604800,106
least_power,0.7,10,10,10,homogeneous2,604800,117
least_power_k,0.7,10,10,10,homogeneous2,604800,117
least_power_partition,0.7,10,10,10,homogeneous2,604800,116
least_power,0.8,10,10,10,homogeneous2,604800,118
least_power_k,0.8,10,10,10,homogeneous2,604800,118
least_power_partition,0.8,10,10,10,homogeneous2,604800,118
least_power,0.1,10,100,100,homogeneous,604800,102
least_power_k,0.1,10,100,100,homogeneous,604800,101
least_power_partition,0.1,10,100,100,homogeneous,604800,101
least_power,0.2,10,100,100,homogeneous,604800,103
least_power_k,0.2,10,100,100,homogeneous,604800,103
least_power_partition,0.2,10,100,100,homogeneous,604800,104
least_power,0.3,10,100,100,homogeneous,604800,104
least_power_k,0.3,10,100,100,homogeneous,604800,104
least_power_partition,0.3,10,100,100,homogeneous,604800,105
least_power,0.4,10,100,100,homogeneous,604800,106
least_power_k,0.4,10,100,100,homogeneous,604800,105
least_power_partition,0.4,10,100,100,homogeneous,604800,105
least_power,0.5,10,100,100,homogeneous,604800,106
least_power_k,0.5,10,100,100,homogeneous,604800,107
least_power_partition,0.5,10,100,100,homogeneous,604800,106
least_power,0.6,10,100,100,homogeneous,604800,107
least_power_k,0.6,10,100,100,homogeneous,604800,106
least_power_partition,0.6,10,100,100,homogeneous,604800,109
least_power,0.7,10,100,100,homogeneous,604800,116
least_power_k,0.7,10,100,100,homogeneous,604800,116
least_power_partition,0.7,10,100,100,homogeneous,604800,116
least_power,0.8,10,100,100,homogeneous,604800,118
least_power_k,0.8,10,100,100,homogeneous,604800,117
least_power_partition,0.8,10,100,100,homogeneous,604800,117
least_power,0.1,10,100,100,homogeneous2,604800,104
least_power_k,0.1,10,100,100,homogeneous2,604800,105
least_power_partition,0.1,10,100,100,homogeneous2,604800,105
least_power,0.2,10,100,100,homogeneous2,604800,105
least_power_k,0.2,10,100,100,homogeneous2,604800,103
least_power_partition,0.2,10,100,100,homogeneous2,604800,105
least_power,0.3,10,100,100,homogeneous2,604800,105
least_power_k,0.3,10,100,100,homogeneous2,604800,106
least_power_partition,0.3,10,100,100,homogeneous2,604800,105
least_power,0.4,10,100,100,homogeneous2,604800,106
least_power_k,0.4,10,100,100,homogeneous2,604800,107
least_power_partition,0.4,10,100,100,homogeneous2,604800,106
least_power,0.5,10,100,100,homogeneous2,604800,107
least_power_k,0.5,10,100,100,homogeneous2,604800,107
least_power_partition,0.5,10,100,100,homogeneous2,604800,108
least_power,0.6,10,100,100,homogeneous2,604800,109
least_power_k,0.6,10,100,100,homogeneous2,604800,112
least_power_partition,0.6,10,100,100,homogeneous2,604800,111
least_power,0.7,10,100,100,homogeneous2,604800,117
least_power_k,0.7,10,100,100,homogeneous2,604800,117
least_power_partition,0.7,10,100,100,homogeneous2,604800,117
least_power,0.8,10,100,100,homogeneous2,604800,118
least_power_k,0.8,10,100,100,homogeneous2,604800,118
least_power_partition,0.8,10,100,100,homogeneous2,604800,118
least_power,0.1,10,500,500,homogeneous,604800,115
least_power_k,0.1,10,500,500,homogeneous,604800,-1
least_power_partition,0.1,10,500,500,homogeneous,604800,-1
least_power,0.2,10,500,500,homogeneous,604800,115
least_power_k,0.2,10,500,500,homogeneous,604800,113
least_power_partition,0.2,10,500,500,homogeneous,604800,113
least_power,0.3,10,500,500,homogeneous,604800,116
least_power_k,0.3,10,500,500,homogeneous,604800,114
least_power_partition,0.3,10,500,500,homogeneous,604800,116
least_power,0.4,10,500,500,homogeneous,604800,115
least_power_k,0.4,10,500,500,homogeneous,604800,117
least_power_partition,0.4,10,500,500,homogeneous,604800,117
least_power,0.5,10,500,500,homogeneous,604800,123
least_power_k,0.5,10,500,500,homogeneous,604800,119
least_power_partition,0.5,10,500,500,homogeneous,604800,119
least_power,0.6,10,500,500,homogeneous,604800,128
least_power_k,0.6,10,500,500,homogeneous,604800,125
least_power_partition,0.6,10,500,500,homogeneous,604800,125
least_power,0.7,10,500,500,homogeneous,604800,135
least_power_k,0.7,10,500,500,homogeneous,604800,128
least_power_partition,0.7,10,500,500,homogeneous,604800,131
least_power,0.8,10,500,500,homogeneous,604800,143
least_power_k,0.8,10,500,500,homogeneous,604800,133
least_power_partition,0.8,10,500,500,homogeneous,604800,134
least_power,0.1,10,500,500,homogeneous2,604800,117
least_power_k,0.1,10,500,500,homogeneous2,604800,116
least_power_partition,0.1,10,500,500,homogeneous2,604800,117
least_power,0.2,10,500,500,homogeneous2,604800,117
least_power_k,0.2,10,500,500,homogeneous2,604800,118
least_power_partition,0.2,10,500,500,homogeneous2,604800,118
least_power,0.3,10,500,500,homogeneous2,604800,119
least_power_k,0.3,10,500,500,homogeneous2,604800,118
least_power_partition,0.3,10,500,500,homogeneous2,604800,119
least_power,0.4,10,500,500,homogeneous2,604800,120
least_power_k,0.4,10,500,500,homogeneous2,604800,120
least_power_partition,0.4,10,500,500,homogeneous2,604800,119
least_power,0.5,10,500,500,homogeneous2,604800,126
least_power_k,0.5,10,500,500,homogeneous2,604800,124
least_power_partition,0.5,10,500,500,homogeneous2,604800,123
least_power,0.6,10,500,500,homogeneous2,604800,130
least_power_k,0.6,10,500,500,homogeneous2,604800,127
least_power_partition,0.6,10,500,500,homogeneous2,604800,131
least_power,0.7,10,500,500,homogeneous2,604800,136
least_power_k,0.7,10,500,500,homogeneous2,604800,132
least_power_partition,0.7,10,500,500,homogeneous2,604800,133
least_power,0.8,10,500,500,homogeneous2,604800,144
least_power_k,0.8,10,500,500,homogeneous2,604800,136
least_power_partition,0.8,10,500,500,homogeneous2,604800,157
least_power,0.1,10,1000,1000,homogeneous,604800,-1
least_power_k,0.1,10,1000,1000,homogeneous,604800,-1
least_power_partition,0.1,10,1000,1000,homogeneous,604800,-1
least_power,0.2,10,1000,1000,homogeneous,604800,143
least_power_k,0.2,10,1000,1000,homogeneous,604800,144
least_power_partition,0.2,10,1000,1000,homogeneous,604800,137
least_power,0.3,10,1000,1000,homogeneous,604800,149
least_power_k,0.3,10,1000,1000,homogeneous,604800,142
least_power_partition,0.3,10,1000,1000,homogeneous,604800,140
least_power,0.4,10,1000,1000,homogeneous,604800,147
least_power_k,0.4,10,1000,1000,homogeneous,604800,143
least_power_partition,0.4,10,1000,1000,homogeneous,604800,138
least_power,0.5,10,1000,1000,homogeneous,604800,149
least_power_k,0.5,10,1000,1000,homogeneous,604800,148
least_power_partition,0.5,10,1000,1000,homogeneous,604800,144
least_power,0.6,10,1000,1000,homogeneous,604800,166
least_power_k,0.6,10,1000,1000,homogeneous,604800,155
least_power_partition,0.6,10,1000,1000,homogeneous,604800,153
least_power,0.7,10,1000,1000,homogeneous,604800,177
least_power_k,0.7,10,1000,1000,homogeneous,604800,166
least_power_partition,0.7,10,1000,1000,homogeneous,604800,174
least_power,0.8,10,1000,1000,homogeneous,604800,197
least_power_k,0.8,10,1000,1000,homogeneous,604800,186
least_power_partition,0.8,10,1000,1000,homogeneous,604800,194
least_power,0.1,10,1000,1000,homogeneous2,604800,149
least_power_k,0.1,10,1000,1000,homogeneous2,604800,-1
least_power_partition,0.1,10,1000,1000,homogeneous2,604800,146
least_power,0.2,10,1000,1000,homogeneous2,604800,153
least_power_k,0.2,10,1000,1000,homogeneous2,604800,151
least_power_partition,0.2,10,1000,1000,homogeneous2,604800,150
least_power,0.3,10,1000,1000,homogeneous2,604800,156
least_power_k,0.3,10,1000,1000,homogeneous2,604800,154
least_power_partition,0.3,10,1000,1000,homogeneous2,604800,153
least_power,0.4,10,1000,1000,homogeneous2,604800,157
least_power_k,0.4,10,1000,1000,homogeneous2,604800,154
least_power_partition,0.4,10,1000,1000,homogeneous2,604800,154
least_power,0.5,10,1000,1000,homogeneous2,604800,158
least_power_k,0.5,10,1000,1000,homogeneous2,604800,157
least_power_partition,0.5,10,1000,1000,homogeneous2,604800,154
least_power,0.6,10,1000,1000,homogeneous2,604800,168
least_power_k,0.6,10,1000,1000,homogeneous2,604800,164
least_power_partition,0.6,10,1000,1000,homogeneous2,604800,165
least_power,0.7,10,1000,1000,homogeneous2,604800,182
least_power_k,0.7,10,1000,1000,homogeneous2,604800,174
least_power_partition,0.7,10,1000,1000,homogeneous2,604800,179
least_power,0.8,10,1000,1000,homogeneous2,604800,200
least_power_k,0.8,10,1000,1000,homogeneous2,604800,195
least_power_partition,0.8,10,1000,1000,homogeneous2,604800,197
least_power,0.1,20,10,10,homogeneous,604800,-1
least_power_k,0.1,20,10,10,homogeneous,604800,-1
least_power_partition,0.1,20,10,10,homogeneous,604800,-1
least_power,0.2,20,10,10,homogeneous,604800,206
least_power_k,0.2,20,10,10,homogeneous,604800,-1
least_power_partition,0.2,20,10,10,homogeneous,604800,207
least_power,0.3,20,10,10,homogeneous,604800,207
least_power_k,0.3,20,10,10,homogeneous,604800,209
least_power_partition,0.3,20,10,10,homogeneous,604800,206
least_power,0.4,20,10,10,homogeneous,604800,207
least_power_k,0.4,20,10,10,homogeneous,604800,208
least_power_partition,0.4,20,10,10,homogeneous,604800,209
least_power,0.5,20,10,10,homogeneous,604800,209
least_power_k,0.5,20,10,10,homogeneous,604800,210
least_power_partition,0.5,20,10,10,homogeneous,604800,209
least_power,0.6,20,10,10,homogeneous,604800,210
least_power_k,0.6,20,10,10,homogeneous,604800,209
least_power_partition,0.6,20,10,10,homogeneous,604800,210
least_power,0.7,20,10,10,homogeneous,604800,212
least_power_k,0.7,20,10,10,homogeneous,604800,212
least_power_partition,0.7,20,10,10,homogeneous,604800,212
least_power,0.8,20,10,10,homogeneous,604800,213
least_power_k,0.8,20,10,10,homogeneous,604800,213
least_power_partition,0.8,20,10,10,homogeneous,604800,216
least_power,0.1,20,10,10,homogeneous2,604800,206
least_power_k,0.1,20,10,10,homogeneous2,604800,207
least_power_partition,0.1,20,10,10,homogeneous2,604800,207
least_power,0.2,20,10,10,homogeneous2,604800,208
least_power_k,0.2,20,10,10,homogeneous2,604800,207
least_power_partition,0.2,20,10,10,homogeneous2,604800,208
least_power,0.3,20,10,10,homogeneous2,604800,209
least_power_k,0.3,20,10,10,homogeneous2,604800,210
least_power_partition,0.3,20,10,10,homogeneous2,604800,209
least_power,0.4,20,10,10,homogeneous2,604800,209
least_power_k,0.4,20,10,10,homogeneous2,604800,209
least_power_partition,0.4,20,10,10,homogeneous2,604800,211
least_power,0.5,20,10,10,homogeneous2,604800,211
least_power_k,0.5,20,10,10,homogeneous2,604800,212
least_power_partition,0.5,20,10,10,homogeneous2,604800,211
least_power,0.6,20,10,10,homogeneous2,604800,212
least_power_k,0.6,20,10,10,homogeneous2,604800,213
least_power_partition,0.6,20,10,10,homogeneous2,604800,212
least_power,0.7,20,10,10,homogeneous2,604800,214
least_power_k,0.7,20,10,10,homogeneous2,604800,213
least_power_partition,0.7,20,10,10,homogeneous2,604800,214
least_power,0.8,20,10,10,homogeneous2,604800,215
least_power_k,0.8,20,10,10,homogeneous2,604800,216
least_power_partition,0.8,20,10,10,homogeneous2,604800,218
least_power,0.1,20,100,100,homogeneous,604800,-1
least_power_k,0.1,20,100,100,homogeneous,604800,-1
least_power_partition,0.1,20,100,100,homogeneous,604800,-1
least_power,0.2,20,100,100,homogeneous,604800,206
least_power_k,0.2,20,100,100,homogeneous,604800,207
least_power_partition,0.2,20,100,100,homogeneous,604800,204
least_power,0.3,20,100,100,homogeneous,604800,207
least_power_k,0.3,20,100,100,homogeneous,604800,206
least_power_partition,0.3,20,100,100,homogeneous,604800,206
least_power,0.4,20,100,100,homogeneous,604800,210
least_power_k,0.4,20,100,100,homogeneous,604800,209
least_power_partition,0.4,20,100,100,homogeneous,604800,209
least_power,0.5,20,100,100,homogeneous,604800,211
least_power_k,0.5,20,100,100,homogeneous,604800,209
least_power_partition,0.5,20,100,100,homogeneous,604800,209
least_power,0.6,20,100,100,homogeneous,604800,213
least_power_k,0.6,20,100,100,homogeneous,604800,212
least_power_partition,0.6,20,100,100,homogeneous,604800,212
least_power,0.7,20,100,100,homogeneous,604800,217
least_power_k,0.7,20,100,100,homogeneous,604800,214
least_power_partition,0.7,20,100,100,homogeneous,604800,214
least_power,0.8,20,100,100,homogeneous,604800,226
least_power_k,0.8,20,100,100,homogeneous,604800,224
least_power_partition,0.8,20,100,100,homogeneous,604800,223
least_power,0.1,20,100,100,homogeneous2,604800,206
least_power_k,0.1,20,100,100,homogeneous2,604800,-1
least_power_partition,0.1,20,100,100,homogeneous2,604800,205
least_power,0.2,20,100,100,homogeneous2,604800,207
least_power_k,0.2,20,100,100,homogeneous2,604800,208
least_power_partition,0.2,20,100,100,homogeneous2,604800,208
least_power,0.3,20,100,100,homogeneous2,604800,209
least_power_k,0.3,20,100,100,homogeneous2,604800,210
least_power_partition,0.3,20,100,100,homogeneous2,604800,211
least_power,0.4,20,100,100,homogeneous2,604800,211
least_power_k,0.4,20,100,100,homogeneous2,604800,212
least_power_partition,0.4,20,100,100,homogeneous2,604800,211
least_power,0.5,20,100,100,homogeneous2,604800,213
least_power_k,0.5,20,100,100,homogeneous2,604800,211
least_power_partition,0.5,20,100,100,homogeneous2,604800,213
least_power,0.6,20,100,100,homogeneous2,604800,215
least_power_k,0.6,20,100,100,homogeneous2,604800,212
least_power_partition,0.6,20,100,100,homogeneous2,604800,214
least_power,0.7,20,100,100,homogeneous2,604800,219
least_power_k,0.7,20,100,100,homogeneous2,604800,217
least_power_partition,0.7,20,100,100,homogeneous2,604800,217
least_power,0.8,20,100,100,homogeneous2,604800,226
least_power_k,0.8,20,100,100,homogeneous2,604800,224
least_power_partition,0.8,20,100,100,homogeneous2,604800,226
least_power,0.1,20,500,500,homogeneous,604800,-1
least_power_k,0.1,20,500,500,homogeneous,604800,-1
least_power_partition,0.1,20,500,500,homogeneous,604800,-1
least_power,0.2,20,500,500,homogeneous,604800,238
least_power_k,0.2,20,500,500,homogeneous,604800,234
least_power_partition,0.2,20,500,500,homogeneous,604800,233
least_power,0.3,20,500,500,homogeneous,604800,241
least_power_k,0.3,20,500,500,homogeneous,604800,237
least_power_partition,0.3,20,500,500,homogeneous,604800,235
least_power,0.4,20,500,500,homogeneous,604800,242
least_power_k,0.4,20,500,500,homogeneous,604800,237
least_power_partition,0.4,20,500,500,homogeneous,604800,242
least_power,0.5,20,500,500,homogeneous,604800,254
least_power_k,0.5,20,500,500,homogeneous,604800,245
least_power_partition,0.5,20,500,500,homogeneous,604800,246
least_power,0.6,20,500,500,homogeneous,604800,256
least_power_k,0.6,20,500,500,homogeneous,604800,249
least_power_partition,0.6,20,500,500,homogeneous,604800,253
least_power,0.7,20,500,500,homogeneous,604800,271
least_power_k,0.7,20,500,500,homogeneous,604800,259
least_power_partition,0.7,20,500,500,homogeneous,604800,264
least_power,0.8,20,500,500,homogeneous,604800,291
least_power_k,0.8,20,500,500,homogeneous,604800,273
least_power_partition,0.8,20,500,500,homogeneous,604800,269
least_power,0.1,20,500,500,homogeneous2,604800,237
